T(align.chunk),T(align.chunk.lemm),T(term),S(term),source,class
_PREF_u _A_alternativan _N_prostor,_A_alternativan _N_prostor,_A_alternativan _N_prostor,_NOUN_alternative_NOUN_space,1,1
_N_funkcija _N_biblioteka,_N_funkcija _N_biblioteka,_N_funkcija _N_biblioteka,_NOUN_library_NOUN_function,1,1
_PRO_sebe _A_bibliografski _N_podatak,_PRO_sebe _A_bibliografski _N_podatak,_A_bibliografski _N_podatak,_ADJ_bibliographic_NOUN_record,1,0
_A_drugi _N_novina,_A_drugi _N_novina _PRO_taj ili,_A_drugi _N_novina,_NOUN_newspaper,0,0
_N_struktura _N_svojstvo,_N_struktura _N_svojstvo _N_struktura _N_svojstvo,_N_svojstvo _N_struktura _N_svojstvo,_NOUN_feature_NOUN_structure,1,0
_PREF_i _N_internet _PREF_na _N_biblioteka,_N_internet _N_biblioteka,_N_internet _PREF_u _N_biblioteka,_NOUN_internet_ADP_on_NOUN_library,1,0
_A_bibliotečki _N_služba _PRO_koji,_A_bibliotečki _N_služba _PRO_koji,_A_bibliotečki _N_služba,_ADJ_librarian_NOUN_service,1,1
_PREF_od latex _N_izvor,latex _N_izvor,latex _N_izvor,_NOUN_latex_NOUN_source,1,1
_A_naučni _N_oblast _PREF_u,_A_naučni _N_oblast _PREF_u,_A_naučni _N_oblast,_ADJ_scientific_NOUN_domain,1,1
_N_polje _N_interesovanje _PREF_u,_N_polje _N_interesovanje _PREF_u,_N_polje _N_interesovanje,_NOUN_field,0,0
_N_leksikon _N_učenje _V_pasti,_N_leksikon _N_učenje _V_pasti ako,_N_učenje _N_leksikon,_NOUN_lexicon,0,0
_N_studij _N_slučaj,_N_studij _N_slučaj _PREF_u,_N_studij _N_slučaj,_NOUN_case_NOUN_study,0,1
_A_vertikalan _N_oblik,_A_vertikalan _N_oblik,_A_vertikalan _N_oblik,_ADJ_vertical_NOUN_form,1,1
_A_programski _N_jezik,_PREF_i _A_programski _N_jezik,_A_programski _N_jezik,_NOUN_programming_NOUN_language,0,1
_A_krajnji _N_korisnik _PRO_koji,_PRO_koji _A_krajnji _N_korisnik,_A_krajnji _N_korisnik,_NOUN_end_NOUN_user,0,1
_N_republika _A_češki _PRO_ona,_N_republika _A_češki _PRO_koji _PRO_ona,_A_češki _N_republika,_NOUN_czech_ADJ_republic,1,1
_N_biblioteka _N_savez,ili _N_biblioteka _N_savez,_N_biblioteka _N_savez,_NOUN_library_NOUN_union,1,0
_N_dostupnost _N_informacija _PREF_o,_N_dostupnost _N_informacija _PREF_na,_N_informacija _PREF_o _N_dostupnost,_NOUN_accessibility_ADP_of_NOUN_information,1,1
_N_aplikacija _PREF_u _PRO_sam _N_biblioteka,_N_aplikacija _N_biblioteka,_N_aplikacija _PREF_u _PRO_sam _N_biblioteka,_NOUN_application_ADP_in_NOUN_library,1,0
_N_upravljanje _N_projekt,_PREF_i _N_upravljanje _N_projekt,_N_upravljanje _N_projekt,_NOUN_project_NOUN_management,1,1
_A_kompletan _N_bibliografija,_A_kompletan _N_bibliografija,_A_kompletan _N_bibliografija,_ADJ_complete_NOUN_bibliography,0,1
_A_početan _N_set _N_anotacija,_PREF_za _A_početan _N_set _N_anotacija,_A_početan _N_set _N_anotacija,_ADJ_initial_NOUN_set_ADP_of_NOUN_annotation,1,1
_A_gradski _N_biblioteka _N_okrug,_A_gradski _N_biblioteka _N_okrug,_A_gradski _N_biblioteka _N_okrug,_NOUN_city_CONJ_and_NOUN_district_NOUN_library,0,0
_N_nauk _PREF_u _N_vek,_N_nauk _PREF_u _N_vek,_N_nauk _PREF_u _N_vek,_NUM_21st_NOUN_century,1,0
